#,slug,title,org,year,order,featured,tags,country,summary,detail,url_external
,"irz","IRZ (Interactive Reminders for Zimbabwe)","IRD Global","2014",2012,"no","public health; mobile","zw","A tablet-based web project in Zimbabwe improving post-treatment follow-up rates through scheduled SMS alerts.","Interactive Reminders for Zimbabwe is a web-based system for tablet computers, built to improve follow-up for tuberculosis and male circumcision patients by sending scheduled SMS reminders after treatment.

**Stack:** Java, GWT, Tomcat, MySQL, SMS gateway.",
,"openxdata-documentation","openXdata Architecture","IRD","2011",2011.1,"no","open source; documentation; UML","global","Documenting the modules of openXdata, a free and open-source project for data collection on low-cost mobile devices, using UML.","openXdata is a free and open-source platform for collecting data on low-cost mobile devices, including in areas with limited or unreliable connectivity. It lets organisations design electronic forms, collect and validate data in the field, and synchronise it with a central server once a connection is available. The contribution here was architecture and design documentation for the project's modules.

**Stack:** Microsoft Visio.",
,"tb-reach-ii","TB REACH II","IRD","2011",2011,"no","public health; tuberculosis","pk;bd","Increasing early case detection, reporting and correct treatment of TB in low-cost private laboratories serving poor communities in Karachi and Dhaka.","TB REACH II extended the programme into low-cost private laboratories in
Karachi, Pakistan and Dhaka, Bangladesh: the places where poor patients
actually seek testing first. Core functions mirror TB REACH.

**Stack:** Java, GWT, MySQL, native Android, OpenMRS.",
,"mission-zindagi","Mission Zindagi","IRD","2010",2010,"no","public health; tuberculosis","pk","TB REACH, also known as Mission Zindagi: increasing case detection and case holding of TB patients through conditional cash transfers to general practitioners and community mobilisers.","TB REACH's first wave, and the original implementation in Pakistan. Community health workers and General Practitioners were equipped with GPRS-enabled phones to find and treat TB patients in the community. Health workers screened people in clinics and hospitals, collected sputum samples and GPS coordinates for suspected cases, and were paid mobile-based incentives, through services such as UBL Omni, for case detection, sputum collection and successful treatment.

**Stack:** Java, GWT, MySQL, native Android, OpenMRS.",
,"school-fees-manager","School Fees Manager","Integral Solutions","2008",2008,"no","education","pk","Built for The Educators school franchise. The project was axed after a month of development.","A fee management system for a school franchise. Cancelled a month into
development.",
,"gsm-controller","GSM Controller","Integral Solutions","2007",2007,"no","messaging; marketing","pk","A marketing tool combining an SMS system, email system, contacts manager and scheduler.","An early bulk-communication tool: SMS, email, contact management and
scheduling in one desktop product.",
,"gu-mis","GU-MIS","Greenwich University","2006",2006,"yes","education; .NET","pk","Management information system for Greenwich University, Karachi: registration, examinations, student information desk and reporting.","Built on the .NET framework, GU-MIS is a management information system for Greenwich University in Karachi. It covers registration, academic records, examinations and timetables, a fee structure module, career counselling and a front-desk inquiry system, plus a student-facing web portal for checking exam results and profiles.

**Stack:** VB.NET, C#, ASP.NET, SQL Server.",
,"tb-reach","TB REACH","IRD","2010–2021",2010.5,"yes","public health; tuberculosis","pk;bd;tj;tz;za","IRD's flagship tuberculosis programme, run in several waves from 2010 onward to find and hold onto TB patients.",,
,"global-fund-tb-south-africa","Global Fund TB, South Africa (GF-NDOH)","National Department of Health, South Africa","2014–15",2014.3,"yes","public health; tuberculosis","za","Helped South Africa's National Department of Health report TB screening and HIV offer data to the Global Fund.","Also known as GF-NDOH, this system helped South Africa's National Department of Health report TB screening and HIV offer data to the Global Fund, covering case detection of TB patients and the HIV offers made to them.

**Stack:** Java, GWT, Tomcat, MySQL.",
,"genexpert-support","GeneXpert Machine Support System","Biomedical wing, IHS","2020",2020,"no","health informatics; biomedical engineering","pk","An internal tool for tracking GeneXpert diagnostic machines and their maintenance.","A small internal tool for IHS's biomedical engineering team, tracking GeneXpert diagnostic machines. It records which machines are deployed where, logs calibration events, and lets staff log and track hardware issues against each machine.

**Stack:** Python, Django, MySQL.",
,"kiran-sitara-ehsaas","Kiran Sitara Ehsaas","Kiran Sitara Initiative","2019–20",2019.5,"no","health informatics; community health","pk","A data system for an initiative that trains adolescent schoolgirls as community health advocates.","A data system built at IHS for the Kiran Sitara Ehsaas initiative, which empowers adolescent schoolgirls from underserved communities by developing them as advocates within their communities, raising awareness of health-related concerns. A Java/Spring Boot backend manages participants, users, locations and roles for the programme, serving a mobile app (internally named Diya) and a React web front end for staff who need a browser-based view.

**Stack:** Java, Spring Boot, MySQL, Liquibase, Maven, native Android, React.",
,"nhsms","NHSMS (Neighborhood Health SMS Platform)","Neighborhood Health, Virginia","2018",2018.5,"no","health informatics; messaging","us","A messaging platform for a health clinic in the United States, sending SMS through Twilio.","A messaging platform built for a health clinic in the United States. It sends and receives SMS through the Twilio API, keeps a conversation log per patient, and can trigger automated replies based on decision rules. It also handles appointment reminders and bulk messaging, with a web dashboard for staff.

**Stack:** Java, Spring Boot, PostgreSQL, Twilio, Maven.",
,"is3","IS3 (Interactive SMS Survey Service)","IHS","2014",2014.2,"no","health informatics; messaging","pk","A survey tool that runs surveys over SMS.","IS3, short for Interactive SMS Survey Service, is a survey tool built at IHS. It lets you design surveys and run them over SMS through the SMSTarseel gateway, with a web interface for building surveys and pulling reports from responses.

**Stack:** Java, GWT, MySQL, SMSTarseel gateway.",
,"zm-rct","ZM-RCT","IRD, Zindagi Mehfooz programme","2014–20",2014.4,"no","public health; research; immunisation","pk","The web platform behind a randomised controlled trial run under the Zindagi Mehfooz immunisation programme.","ZM-RCT is a randomised controlled trial run under the Zindagi Mehfooz programme. An Android app enrols and follows up women taking part in the study; this is the web platform it talks to.

**Stack:** Java, GWT, MySQL, native Android.",
,"jennerx","JennerX","IRD","2014–17",2014.5,"no","public health; immunisation","pk","A child immunisation enrolment and follow-up system, named after Edward Jenner.","JennerX, named after Edward Jenner, is a child immunisation enrolment and follow-up system, built on the same platform as the Zindagi Mehfooz field system. An Android app registers children and tracks follow-up visits; this is the web platform it talks to.

**Stack:** Java, GWT, MySQL, native Android.",
,"covid19","Coronavirus App","Interactive Health Solutions","2020",2020.2,"no","health informatics; COVID-19","pk","An emergency Java/Spring Boot and React app for pandemic-era screening and access control, built for Interactive Health Solutions.","A Java and Spring Boot API paired with a React front end, built for Interactive Health Solutions during the COVID-19 pandemic. It manages people, locations and activity records with role-based access control. The screening workflow itself isn't hardcoded: the underlying data model is a check-in and access-control system, built around badges and activities, rather than a fixed clinical record.

**Stack:** Java, Spring Boot, Lombok, Maven, React.",
,"tb-contact-tracing-uganda","TB Contact Tracing, Uganda","IHS","2017–19",2017,"no","public health; tuberculosis; mobile","ug","An Android app for detecting TB cases in Uganda through contact tracing.","An Android app aimed at detecting TB cases in Uganda through a contact-tracing strategy.

**Stack:** Native Android (Gradle).",
,"qrcode-generator","QR Code Generator","IHS","2015–20",2015.5,"no","tools","pk","A general purpose QR code generator, as a desktop app and a web app.","A general-purpose QR code generator, usable either as a desktop Swing app or a web app, for producing QR codes in bulk.

**Stack:** Java Swing desktop app, Java web app.",
,"childhood-tb-bangladesh","Childhood TB, Bangladesh","IRD Bangladesh","2017",2017.1,"no","public health; tuberculosis","bd","An OpenMRS module and Android app for finding and treating tuberculosis in children in Bangladesh.","TB REACH's sixth wave: a Java web module built on OpenMRS, plus a companion Android app, for finding and treating tuberculosis in children in Bangladesh. It includes clinical forms for sputum tests, GeneXpert testing, chest X-rays and treatment follow-up, and a dashboard for tracking cases through diagnosis and treatment. Internally the project was named childhoodtb-bangladesh, not tbreach6.

**Stack:** Java, OpenMRS, native Android.",
,"zindagi-mehfooz-predictive-analytics","Zindagi Mehfooz Predictive Analytics","IHS, IRD's Maternal and Child Healthcare wing","2016",2016.5,"no","public health; data science","pk","A predictive analytics module for Zindagi Mehfooz, built in R.","A predictive analytics module for Zindagi Mehfooz. It builds models predicting things such as vaccine timeliness and dropout from immunisation system data, with a small Shiny app so the models can be used through a browser.

**Stack:** R, machine learning packages, Shiny.",
,"kmits-data-warehouse-reports","KMITS Data Warehouse Reports","KMITS, National Department of Health, Philippines","2021",2021.2,"no","data warehouse; health informatics; ETL","ph","ETL and reporting for the national TB programme's data warehouse in the Philippines.","A large-scale ETL and data warehouse project for the Philippines' national TB programme, using Talend for jobs and JasperReports templates for analytical reports. It covers presumptive TB cases, diagnosed drug-sensitive and drug-resistant cases, GeneXpert testing, paediatric cases and contact tracing, broken down by region, province and facility for a quarterly national report.

**Stack:** Talend, SQL, JasperReports.",
,"tb-predictive-analysis","Tuberculosis Predictive Analytics","Independent research","2014–16",2014.6,"no","public health; tuberculosis; data science","pk","Research using TB REACH I and II data to predict TB treatment outcomes.","A research project using real treatment data from TB REACH I and TB REACH II to predict treatment outcomes for TB patients. Patient, screening and treatment records from both programmes were combined and cleaned, then used to build predictive models in R.

**Stack:** R, MySQL, CSV datasets.",
,"dss","DSS (Decision Support System for Vaccination)","Ministry of Health","2019",2019.6,"no","health informatics; immunisation","pk","A decision support tool for child immunisation, built for Pakistan's Expanded Programme for Immunization.","A decision-support tool for child immunisation, built for Pakistan's Expanded Programme for Immunization (EPI). The Android app implements a vaccination workflow that lets field workers enrol children, record follow-up visits and sync saved forms, capturing EPI card numbers, vaccination dates and the next scheduled dose.

**Stack:** Java, native Android.",
,"influence-mining","influence.mining","PhD research","2020",2020.3,"no","research; complex networks","global","An R package for finding the most influential nodes in a network.","influence.mining is an R package written as part of PhD research into influence mining in complex networks. It provides functions for finding the most influential nodes in a graph using several methods, and for measuring influence through resilience or diffusion models.

**Stack:** R, igraph.",
,"opg-lesion-detection","Dental OPG Lesion Detection","Aga Khan University","2022",2022.1,"no","machine learning; healthcare","pk","A research project training deep learning models to detect dental lesions on panoramic X-rays.","A collaborative machine learning research project with Aga Khan University, detecting and classifying dental lesions on OPGs, the panoramic dental X-rays dentists use. Several deep learning models (including Faster R-CNN, Mask R-CNN and U-Net) were trained and compared to automatically find and mark abnormal areas in the X-ray images.

**Stack:** Python, Keras, TensorFlow, OpenCV, scikit-learn (Faster R-CNN, Mask R-CNN, U-Net models).",
,"epiandroid","Zindagi Mehfooz Field App","Zindagi Mehfooz programme, IRD Global","2014–17",2014.45,"no","public health; immunisation; mobile","pk","An Android field app for immunisation data collection, part of the Zindagi Mehfooz maternal and child healthcare programme.","Vaccinators used this Android app to enrol children, record EPI numbers and vaccine doses, and set up SMS reminders for the next visit. It worked offline and synced data in the background once a connection was available.

**Stack:** Native Android (Java), sync service, SMS reminders.",
,"green-crescent-trust","School Management System, Green Crescent Trust","Green Crescent Trust","2008–09",2008.5,"no","education; desktop","pk","A school management system built for Green Crescent Trust, a trust running schools around Karachi and in the interior of Sindh.","It handles admissions, academic records, timetables and attendance, with a small tool to keep data synchronised across locations and a module for SMS setup.

**Stack:** C# WinForms (.NET), SQL Server, synchronisation utility, SMS setup module.",
,"shore-dashboard","KPI Analytical Dashboard","Shore Capital","2022",2022.2,"yes","finance; data analytics; business intelligence","us","An R and Power BI analytics dashboard tracking mortgage loan application volume and processing cycle times for a US lender.","A reporting dashboard built for Shore Capital, a US mortgage lender, to track loan applications through their processing pipeline. R scripts pull application records from the company's database and compute cycle time metrics, how long an application takes from receipt to funding and from receipt to processing.

The results feed a set of Plotly charts and a companion Power BI workbook covering the distribution of forward and reverse applications by status, the number of applications received per month, average cycle times from receipt to funded and from receipt to processed, and the number of applications processed by processing group.

**Stack:** R, RMySQL, Plotly, Power BI.",
,"mismorizer","MISMOrizer","Shore Capital","2022",2022.3,"no","fintech; document processing; OCR; NLP","us","A Django microservice that parses Uniform Residential Loan Application PDFs and converts them into MISMO XML for mortgage industry systems.","A microservice built for Shore Capital that processes Uniform Residential Loan Application (URLA) documents for Ellietrac software. It bundles a PDF parser with a converter that turns a submitted application into MISMO XML, the format used by Fannie Mae, Freddie Mac and several large mortgage brokers in the USA.

Incoming PDFs are parsed page by page, with OCR and NLP used to extract and validate form fields (including a matcher tuned to United Wholesale Mortgage condition documents), before the extracted data is assembled into MISMO XML output. The service is built as a Django REST API and ships as a Docker container.

**Stack:** Django, Django REST Framework, MySQL, Tesseract OCR, OpenCV, spaCy, pdfplumber, pdfminer.six, PyPDF2, Docker.",
